Spins,Monomials,Independent Monomials
"(0,0,0)",1,1
"(1,0,0)",1,1
"(1,1,0)",2,2
"(1,1,1)",4,4
"(2,0,0)",1,1
"(2,1,0)",2,2
"(2,1,1)",5,5
"(2,2,0)",3,3
"(2,2,1)",7,7
"(2,2,2)",11,10
"(3,0,0)",1,1
"(3,1,0)",2,2
"(3,1,1)",5,5
"(3,2,0)",3,3
"(3,2,1)",8,8
"(3,2,2)",13,12
"(3,3,0)",4,4
"(3,3,1)",10,10
"(3,3,2)",17,15
"(3,3,3)",23,19

